word,type
karvaton,adjektiivi
kasapäin,adjektiivi
kaskislainen,adjektiivi
kassiittinen,adjektiivi
kastanjanruskea,adjektiivi
kastelematon,adjektiivi
kastumaton,adjektiivi
kasuaali,adjektiivi
kartonkinen,adjektiivi
kameli,adjektiivi
kambrinen,adjektiivi
kambodžalainen,adjektiivi
kahdestaan,adjektiivi
kahjo,adjektiivi
kahju,adjektiivi
kahko,adjektiivi
kahleeton,adjektiivi
kahtalainen,adjektiivi
kahvallinen,adjektiivi
kahvaton,adjektiivi
kahvinruskea,adjektiivi
kahvitauoton,adjektiivi
kaihoisa,adjektiivi
kaikenlainen,adjektiivi
kahdenkeskinen,adjektiivi
kaikkiruokainen,adjektiivi
kaikkivaltias,adjektiivi
kaikkivoipa,adjektiivi
kaikkivoipainen,adjektiivi
kaikuva,adjektiivi
kaino,adjektiivi
kainostelematon,adjektiivi
kaislikkoinen,adjektiivi
kaita,adjektiivi
kaitainen,adjektiivi
kaiteellinen,adjektiivi
kaiteeton,adjektiivi
kaiullinen,adjektiivi
kaikkitietävä,adjektiivi
kaiuttimeton,adjektiivi
kafkamainen,adjektiivi
kaavamainen,adjektiivi
järviruokoinen,adjektiivi
jätkämäinen,adjektiivi
jättiläismäinen,adjektiivi
jättimäinen,adjektiivi
jäyhä,adjektiivi
jäykkä,adjektiivi
jäähdyttämätön,adjektiivi
jäähtymätön,adjektiivi
jääkylmä,adjektiivi
jääräpäinen,adjektiivi
jäätynyt,adjektiivi
jäätävä,adjektiivi
kade,adjektiivi
jäätön,adjektiivi
jörö,adjektiivi
kaakeloimaton,adjektiivi
kaakkoinen,adjektiivi
kaamea,adjektiivi
kaaosmainen,adjektiivi
kaapillinen,adjektiivi
kaareva,adjektiivi
kaarnaton,adjektiivi
kaasumainen,adjektiivi
kaasuton,adjektiivi
kaatokypsä,adjektiivi
kaatumaton,adjektiivi
jäävi,adjektiivi
kajaanilainen,adjektiivi
kajoava,adjektiivi
kakanvärinen,adjektiivi
kalaisa,adjektiivi
kalantilainen,adjektiivi
kalarikas,adjektiivi
kalastamaton,adjektiivi
kalastava,adjektiivi
kalaton,adjektiivi
kaleidoskooppimainen,adjektiivi
kalevalamittainen,adjektiivi
kalifornialainen,adjektiivi
kalju,adjektiivi
kaljupäinen,adjektiivi
kalligrafinen,adjektiivi
kalainen,adjektiivi
kallioinen,adjektiivi
kallisarentinen,adjektiivi
kallisarvoinen,adjektiivi
